Aula,Curso,Bloco,Atividade,Tipo,Duração (min),Objetivo,Materiais Físicos,Recursos Digitais,Tecnologia,Avaliação,Homework,Family Work,Plano B
0,Curiosity,Abertura,Roda de Conversa - Minha Ideia Mágica,Discussão,10,"Nivelar familiaridade com tecnologia, despertar imaginação","Almofadas coloridas, cartolina, canetinhas","",Projetor,Observação de participação e vocabulário,,,
0,Curiosity,Abertura,VARK Simplificado - Meu Jeito de Aprender,Diagnóstico,5,Identificar preferências de aprendizagem,"4 estações (visual, auditiva, cinestésica, leitura), materiais diversos, adesivos coloridos","","",Registro por estação escolhida,,,
0,Curiosity,Ética,História do Robô Amigo e o Segredo,Narrativa,15,Introduzir conceitos de verdade e responsabilidade da IA,"Recursos visuais impressos","","Projetor",Participação em discussão,,,
0,Curiosity,Ética,Criando Nossa Regra de Ouro da IA,Reflexão Individual,10,Formular princípio ético pessoal,"Tiras de papel colorido, canetas, mural coletivo","","",Completude da regra formulada,,,
0,Curiosity,Intervalo,Pausa Ativa + Setup Técnico,Break,10,Descanso e preparação tecnológica,"Lanche","","Computadores/tablets com Bing Image Creator ou Craiyon abertos",Funcionalidade dos dispositivos,,,
0,Curiosity,Projeto,Demonstração da Máquina de Palavras Mágicas,Demo,10,Ensinar conceito de prompt através de exemplo,"","Banco de Prompts Prontos (15 exemplos), Galeria de Avatares Exemplo","Projetor, Bing Image Creator/Craiyon",Compreensão de prompt,,,
0,Curiosity,Projeto,Laboratório de Palavras - Construindo Meu Prompt,Planejamento,15,Planejar avatar antes de gerar,"Cartão de Planejamento A5, Cartazes de Banco de Palavras Mágicas","","",Qualidade do prompt planejado,,,
0,Curiosity,Projeto,Geração dos Avatares - Hora da Magia,Hands-on,25,Cada criança gerar seu avatar,"","","Bing Image Creator/Craiyon, dispositivos individuais",Avatar gerado e salvo,"Missão: Explorador de IA em Casa (encontrar 3 tecnologias em casa)","Explique Seu Avatar Mágico (mostrar para família, perguntar que avatar criariam)","Galeria Pré-Gerada (30 avatares impressos) OU Desenho Híbrido (desenhar e fotografar) OU Vídeo Demonstração"
0,Curiosity,Projeto,Galeria de Avatares - Compartilhamento,Apresentação,10,Celebrar criações e praticar apresentação oral,"","","Projetor ou impressora colorida",Apresentação individual (30seg cada),,,
0,Curiosity,Fechamento,Reflexão Guiada - O Que Aprendi Hoje,Discussão,5,Consolidar aprendizados,"","","",Respostas às perguntas reflexivas,,,
0,Curiosity,Fechamento,Tarefa de Casa + Family Work,Entrega de Materiais,3,Conectar aula com família,"Papel impresso para registro","","",Entrega de materiais,,,
0,Curiosity,Fechamento,Ritual de Encerramento - Círculo de Gratidão,Ritual,2,Encerrar com celebração coletiva,"Adesivos 'Primeiro Criador de IA'","","",Participação no ritual,,,
