Aula,Curso,Bloco,Atividade,Tipo,Duração (min),Objetivo,Materiais Físicos,Recursos Digitais,Tecnologia,Avaliação,Homework,Family Work,Plano B
0,Discovery,Abertura,Perguntas Provocativas - Decisões Invisíveis,Discussão,10,Ativar conhecimento prévio sobre IA no cotidiano,"","","Projetor",Qualidade das hipóteses formuladas,,,
0,Discovery,Abertura,Autoavaliação - Minha Jornada de Descoberta,Diagnóstico,10,Identificar interesses e nivelar expectativas,"Papel A5 para formulário","","",Completude do formulário,,,
0,Discovery,Ética,Jogo Experimental - Enganando a Máquina,Experimento,20,Compreender viés de dados através de prática,"","","Teachable Machine (modelo falho pré-preparado), Projetor",Identificação da causa do erro,"","","Demonstração gravada do experimento"
0,Discovery,Ética,Criando Nossa Regra - Por Que a IA Erra,Reflexão,10,Formular princípio ético sobre qualidade de dados,"Tiras de papel colorido, mural coletivo","","",Regra formulada,,,
0,Discovery,Intervalo,Pausa + Formação de Duplas + Setup,Break,10,Descanso e preparação,"Lanche, objetos físicos (3 por dupla: caneta/caderno/garrafa)","","Computadores com webcam, Teachable Machine aberto",Funcionalidade técnica e formação de duplas,,,
0,Discovery,Projeto,Demonstração - Criando Meu Primeiro Modelo,Demo,8,Ensinar fluxo do Teachable Machine,"","Tutorial visual de 1 página","Teachable Machine projetado",Compreensão do fluxo,,,
0,Discovery,Projeto,Treinamento em Duplas - Escola de IA,Hands-on,35,Cada dupla criar modelo funcional,"Objetos para classificar, Checklist de Treinamento impresso","","Teachable Machine, webcams",Modelo funcional com link exportado,"Missão: Caçador de IA no Cotidiano (encontrar 3 exemplos de classificação)","Ensine Alguém a Treinar uma IA (demonstrar modelo para família)","Dataset Pré-coletado (150 imagens) OU Upload Manual de Fotos (celular) OU Jogo Analógico do Classificador Humano"
0,Discovery,Projeto,Exportação e Compartilhamento,Documentação,7,Salvar modelo e registrar,"Ficha de Certificado impressa","Planilha Google Sheets coletiva","",Link do modelo registrado,,,
0,Discovery,Fechamento,Galeria de Modelos - Testando IAs,Showcase,7,Celebrar criações e praticar teste entre pares,"Adesivos 'Cientista de Dados'","","",Feedback entre pares,,,
0,Discovery,Fechamento,Reflexão Guiada - O Que Descobrimos,Discussão,3,Consolidar conceitos de ML,"","","",Respostas reflexivas,,,
